The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-726000,-5.278,206.846,466.11
-725900,-5.07,206.6,465.41
-725800,-5.077,206.553,464.95
-725700,-5.09,206.519,464.49
-725600,-5.104,206.485,464.03
-725500,-5.117,206.451,463.57
-725400,-5.131,206.417,463.11
-725300,-5.144,206.382,462.65
-725200,-5.157,206.348,462.19
-725100,-5.171,206.3,461.73
-725000,-5.18,206.684,461.27
-724900,-5.28,207.336,460.81
-724800,-5.357,207.987,460.59
-724700,-5.433,208.639,460.38
-724600,-5.509,209.29,460.16
-724500,-5.585,209.942,459.94
-724400,-5.661,210.3,459.72
-724300,-5.75,210.729,459.5
-724200,-5.903,211.024,459.29
-724100,-6.087,211.32,459.07
-724000,-6.271,211.616,458.85
-723900,-6.455,211.911,458.63
-723800,-6.639,212.207,458.75
-723700,-6.823,212.502,458.87
-723600,-7.007,212.798,459
-723500,-7.14,213.2,459.12
-723400,-7.3,213.239,459.24
-723300,-7.425,213.299,459.36
-723200,-7.55,213.36,459.48
-723100,-7.675,213.4,459.6
-723000,-7.8,213.145,459.72
-722900,-7.925,212.953,459.84
-722800,-8.05,212.761,460.25
-722700,-8.175,212.569,460.67
-722600,-8.32,212.377,461.08
-722500,-8.362,212.185,461.49
-722400,-8.413,211.993,461.9
-722300,-8.463,211.801,462.31
-722200,-8.514,211.609,462.72
